Continent,Region,Country,Criminality,Criminal markets,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Criminal actors,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,Code Value
Africa,Southern Africa,Mozambique,6.53,6.05,4.0,5.0,5.5,8.0,8.0,8.0,7.5,3.5,4.0,7.0,7.0,3.5,8.0,9.0,7.5,3.29,3.0,3.5,5.0,5.5,2.0,2.0,3.5,3.0,4.0,3.0,2.0,3.0,MOZ
Europe,Western Europe,Germany,4.9,4.8,5.5,7.0,6.0,1.5,3.5,2.5,4.5,6.5,5.0,6.0,5.0,5.0,6.5,2.0,6.5,7.67,7.0,7.5,8.0,8.0,7.5,7.5,9.0,6.5,7.0,8.0,8.0,8.0,DEU
Europe,Western Europe,United Kingdom,4.89,4.4,6.0,5.0,3.5,2.5,4.0,2.0,4.5,6.5,4.5,5.5,5.38,4.0,6.5,3.0,8.0,7.88,8.0,7.5,8.0,8.5,8.5,7.5,8.5,6.5,7.5,7.5,7.5,9.0,GBR
Europe,Western Europe,Austria,4.04,3.95,4.5,5.0,6.5,2.0,2.5,2.0,4.5,3.5,4.5,4.5,4.13,2.0,4.0,4.0,6.5,7.42,7.0,6.5,7.0,8.0,8.0,8.5,8.0,6.0,7.0,8.0,8.0,7.0,AUT
Africa,Central Africa,"Congo, Rep.",5.03,4.8,6.5,4.5,5.0,8.0,7.0,3.5,2.5,5.0,4.0,2.0,5.25,3.0,6.0,8.0,4.0,3.25,3.0,1.5,5.0,5.0,2.0,4.5,3.0,3.0,3.0,2.0,4.0,3.0,COG
Asia,Western Asia,Lebanon,6.76,5.9,8.5,6.5,7.5,1.5,3.0,5.0,4.0,6.0,9.0,8.0,7.63,6.0,7.0,9.5,8.0,4.0,4.5,3.5,6.5,4.0,4.0,3.5,3.0,3.0,2.0,5.0,3.5,5.5,LBN
Europe,Western Europe,Liechtenstein,1.88,2.0,2.0,1.5,2.5,1.5,1.5,1.5,2.0,2.5,3.0,2.0,1.75,1.0,1.5,1.5,3.0,8.42,9.0,8.0,7.5,9.0,9.0,8.0,9.5,5.0,8.5,9.5,9.5,8.5,LIE
Asia,Eastern Asia,China,6.01,5.9,6.5,6.0,2.5,8.5,9.0,4.5,6.5,3.5,4.0,8.0,6.13,7.0,7.5,7.0,3.0,5.46,6.0,4.0,6.0,7.0,5.0,5.5,7.0,6.0,7.0,4.0,6.0,2.0,CHN
Asia,Southern Asia,Bhutan,3.69,3.75,5.0,3.0,2.0,7.0,5.5,4.5,2.0,1.5,4.0,3.0,3.63,4.0,3.5,3.0,4.0,4.58,6.0,6.0,4.5,4.5,5.5,5.0,3.5,4.0,5.0,3.5,4.0,3.5,BTN
Europe,Western Europe,Luxembourg,2.36,2.35,3.5,2.0,2.0,1.0,1.5,1.5,3.5,3.0,2.5,3.0,2.38,1.0,2.0,1.5,5.0,7.5,8.0,6.5,9.0,7.0,7.5,7.0,8.0,6.0,8.0,7.0,8.0,8.0,LUX
